personLabel,occupationLabel,birthdate,deathdate,nationalityLabel,awardLabel
Brenda Y. Bedolla-García,botanist,1974-01-01T00:00:00Z,,Mexico,
Leia Scheinvar,botanist,1954-01-01T00:00:00Z,,Mexico,
Jun Wen,botanist,1963-01-01T00:00:00Z,,United States of America,
Melania Alvarez,mathematician,,,Mexico,Adrien Pouliot Award
Alison Butler,chemist,2000-01-01T00:00:00Z,,,
Evelyn Fox Keller,biologist,1936-03-20T00:00:00Z,,United States of America,John Simon Guggenheim Memorial Foundation Fellowship
Uma Chowdhry,chemist,1947-01-01T00:00:00Z,,United States of America,Hall of Fame of Delaware Women
Marlene Kegler Krug,physician,1953-04-13T00:00:00Z,1977-01-01T00:00:00Z,Germany,
Ljubov Vjatsjeslavovna Rimareva,biologist,1950-09-28T00:00:00Z,,Soviet Union,"Medal ""In Commemoration of the 850th Anniversary of Moscow"""
Natalia M. Novikova,mathematician,1953-03-08T00:00:00Z,,Russia,
Mary Gardiner,computer scientist,2000-01-01T00:00:00Z,,Australia,
Q29358663,physicist,1960-06-09T00:00:00Z,,,
Angela Merkel,chemist,1954-07-17T00:00:00Z,,Germany,honorary doctor of Babeș-Bolyai University
Gladys W. Royal,chemist,1926-08-29T00:00:00Z,2002-11-09T00:00:00Z,,
Vanaja Iyengar,mathematician,1901-01-01T00:00:00Z,2001-01-01T00:00:00Z,,Padma Shri in literature & education
Francine Berman,computer scientist,1951-02-07T00:00:00Z,,United States of America,ACM Fellow
Tara S. Holm,mathematician,,,United States of America,Fellow of the American Mathematical Society
Karin Büttner-Janz,physician,1952-02-17T00:00:00Z,,German Democratic Republic,Order of Merit of Berlin
Josephine Darlington,botanist,1905-01-01T00:00:00Z,,,
Dorothy C. Bay,botanist,1962-01-01T00:00:00Z,,United States of America,
Janet Rossant,biologist,1950-07-13T00:00:00Z,,Canada,FASEB Excellence in Science Award
Katie Louisa Ardill,physician,1886-08-03T00:00:00Z,1955-01-03T00:00:00Z,Australia,
Asta Tuusti,biologist,1959-07-11T00:00:00Z,,,
Veronika Terézia Racková,physician,1958-01-08T00:00:00Z,2016-05-20T00:00:00Z,,
Amalie Dietrich,botanist,1821-05-26T00:00:00Z,1891-03-09T00:00:00Z,Germany,
Henriette Saloz-Joudra,physician,1855-05-19T00:00:00Z,1928-07-27T00:00:00Z,Switzerland,
Eliza Ann Grier,physician,1864-01-01T00:00:00Z,1902-01-01T00:00:00Z,United States of America,
Suhad Bahajri,chemist,2000-01-01T00:00:00Z,,Saudi Arabia,
Vera Lucia Imperatriz Fonseca,biologist,1946-01-01T00:00:00Z,,Brazil,
Sarah Fitton,botanist,1796-01-01T00:00:00Z,1874-03-30T00:00:00Z,,
Annie Easley,engineer,1933-04-23T00:00:00Z,2011-06-25T00:00:00Z,United States of America,
Sarah Sophia Banks,botanist,1744-10-28T00:00:00Z,1818-09-27T00:00:00Z,Great Britain,
Rebecca J Lingwood,engineer,,,,Fellow of the Royal Academy of Engineering
Yuriko Renardy,mathematician,,,Japan,Fellow of the Society for Industrial and Applied Mathematics
Sally Brooker,chemist,2000-01-01T00:00:00Z,,,University of Otago Sesquicentennial Distinguished Chair
Marja Vehviläinen,computer scientist,,,Finland,
Tatjana Jemeļjanova,engineer,1954-08-21T00:00:00Z,,Soviet Union,
Q28689194,biologist,,,Japan,
Catherine Langlais,engineer,1955-04-09T00:00:00Z,,France,Irène-Joliot-Curie Prize
Q24642242,astronomer,1935-12-16T00:00:00Z,,,"Medal ""In Commemoration of the 300th Anniversary of Saint Petersburg"""
Wendy Freedman,physicist,1957-07-17T00:00:00Z,,Canada,Gruber Prize in Cosmology
Q47545356,astronomer,1980-01-01T00:00:00Z,,,
Hannelore Spaeth,botanist,1965-01-01T00:00:00Z,,Germany,
Q98541026,mathematician,1960-01-01T00:00:00Z,,,
Hanna Damasio,physician,1942-09-24T00:00:00Z,,Portugal,Jean-Louis Signoret Prize
Henrietta Liston,botanist,1751-01-01T00:00:00Z,1828-01-01T00:00:00Z,,
Donna Amenta,chemist,,,United States of America,
Sulamith Goldhaber,chemist,1923-11-04T00:00:00Z,1965-12-11T00:00:00Z,Israel,John Simon Guggenheim Memorial Foundation Fellowship
Rosina Zornlin,astronomer,1795-12-06T00:00:00Z,1859-05-22T00:00:00Z,Great Britain,
Gloria Suzanne Koenigsberger Horowitz,physicist,2000-01-01T00:00:00Z,,Mexico,
Dorotea Barnés González,chemist,1904-12-21T00:00:00Z,2003-08-04T00:00:00Z,Spain,
Fatima Aziz,physician,1972-01-01T00:00:00Z,,Afghanistan,
Anahit Tonoyan,chemist,1942-07-16T00:00:00Z,,Soviet Union,President Prize
Colette Cusset,botanist,1944-06-28T00:00:00Z,,France,
Heidi Thornquist,mathematician,,,,
Lidia Ivanovna Dyomkina,physicist,1900-02-07T00:00:00Z,1994-03-29T00:00:00Z,Russian Empire,Merited Engineering Scientist of the RSFSR
Rosalinde Hurley,physician,1929-12-30T00:00:00Z,2004-06-30T00:00:00Z,,Fellow of the Royal College of Pathologists
Claire Huguenin,biologist,1982-01-01T00:00:00Z,,Switzerland,
Marinka Baghdasaryan,engineer,1960-01-09T00:00:00Z,,Soviet Union,
Lina Hahne,physician,1984-01-15T00:00:00Z,,Sweden,
Marta Bohn-Meyer,engineer,1957-08-18T00:00:00Z,2005-09-18T00:00:00Z,United States of America,
Səyyarə Əliyeva,chemist,1949-08-30T00:00:00Z,,Azerbaijan,
Mina Bissell,biologist,1940-01-01T00:00:00Z,,Iran,honorary doctorate of the University of Copenhagen
Anne Aan,biologist,1969-08-08T00:00:00Z,,Estonia,
Tinatin Asatiani,physicist,1918-03-12T00:00:00Z,2011-07-20T00:00:00Z,Democratic Republic of Georgia,Order of Honour
Q15064947,botanist,1905-08-11T00:00:00Z,1970-01-01T00:00:00Z,Soviet Union,Order of the Red Banner of Labour
Marisa Castro Cerceda,biologist,1955-12-20T00:00:00Z,,Spain,
Ursula Franklin,physicist,1921-09-16T00:00:00Z,2016-07-22T00:00:00Z,Germany,Companion of the Order of Canada
Carmen Andrade Perdrix,chemist,1947-01-01T00:00:00Z,,Spain,honorary doctor of the University of Alicante
Natalla Klimowicz,physician,1963-02-02T00:00:00Z,,,Medal of Francysk Skaryna
Elizabeth D. A. Cohen,physician,1820-02-22T00:00:00Z,1921-05-28T00:00:00Z,United States of America,
Margaret Chan,physician,1947-08-22T00:00:00Z,,People's Republic of China,Fellow of the Royal College of Physicians
Elaine Shi,computer scientist,,,,
Victoria M. Arbour,biologist,1984-01-01T00:00:00Z,,Canada,
Sonia Guimarães,physicist,1957-06-26T00:00:00Z,,Brazil,
Peggoty Mutai,chemist,,,Kenya,
Aliya Venyaminova,chemist,1936-08-18T00:00:00Z,,Russia,
Aleksandra Troitskaya,physician,1896-05-26T00:00:00Z,1979-04-14T00:00:00Z,Soviet Union,
Beatrice Mintz,biologist,1921-01-24T00:00:00Z,,United States of America,Genetics Society of America Medal
Éva Tardos,computer scientist,1957-10-01T00:00:00Z,,United States of America,Fulkerson Prize
Dervilla Mitchell,engineer,,,,
Maxine Singer,biologist,1931-02-15T00:00:00Z,,United States of America,Presidential Rank Award of Distinguished Executive
Joan Rose,biologist,1954-03-05T00:00:00Z,,United States of America,Stockholm Water Prize
Cecilia Söderberg-Nauclér,physician,,,,
Libera Trevisani Levi-Civita,mathematician,1890-05-17T00:00:00Z,1973-12-11T00:00:00Z,Italy,
Qing Zhao,engineer,,,,IEEE Fellow
Doris Kuhlmann-Wilsdorf,engineer,1922-02-15T00:00:00Z,2010-03-25T00:00:00Z,Germany,Society of Women Engineers Achievement Award
Han van Konijnenburg-van Cittert,botanist,1943-04-04T00:00:00Z,,Kingdom of the Netherlands,
Manju Sharma,botanist,1940-02-13T00:00:00Z,,British India,Padma Bhushan in science & engineering
Ingrid Brynolf,physician,1910-05-26T00:00:00Z,2008-07-26T00:00:00Z,Sweden,
Diane E. Griffin,biologist,1940-05-05T00:00:00Z,,United States of America,Maxwell Finland Award
Lucy Katherine Armitage Chippindall,botanist,1913-02-13T00:00:00Z,1992-04-04T00:00:00Z,South Africa,
Christine Horner MD,physician,1957-11-25T00:00:00Z,,United States of America,
Josephine Adelaide Clark,botanist,1856-03-09T00:00:00Z,1929-03-24T00:00:00Z,United States of America,
Jane Plant,engineer,1945-02-01T00:00:00Z,2016-03-04T00:00:00Z,United Kingdom,Commander of the Order of the British Empire
Jane Plant,engineer,1945-02-01T00:00:00Z,2016-03-04T00:00:00Z,United Kingdom,Fellow of the Royal Society of Edinburgh
Bronislava Poskrebysheva,physician,1910-01-01T00:00:00Z,1941-10-16T00:00:00Z,Russian Empire,
Nell B. Dale,computer scientist,,,United States of America,ACM Fellow
Tabetha S. Boyajian,astronomer,1980-01-01T00:00:00Z,,United States of America,
Maria Candida Henrique Mamede,botanist,1956-07-13T00:00:00Z,,Brazil,
Stana Hočevar,biologist,1922-11-08T00:00:00Z,,Slovenia,
Gloria C. Gilmer,mathematician,1950-01-01T00:00:00Z,,,
Galila Tamarhan,physician,1849-01-01T00:00:00Z,1863-01-01T00:00:00Z,Egypt,
Marcela Bilek,physicist,1968-01-20T00:00:00Z,,Australia,Fellow of the Royal Society of New South Wales
Caroline Molesworth,botanist,1794-01-01T00:00:00Z,1872-12-29T00:00:00Z,,
Jennifer Tour Chayes,physicist,1956-09-20T00:00:00Z,,United States of America,Fellow of the American Mathematical Society
Berit Stensønes,mathematician,1956-01-01T00:00:00Z,,,
Natalie Schmalz,botanist,,,,
Linda B. Buck,physician,1947-01-29T00:00:00Z,,United States of America,honorary doctor of Harvard University
Sirpa Jalkanen,physician,1954-02-28T00:00:00Z,,Finland,Matti Äyräpää Prize
Marie Curie,chemist,1867-11-07T00:00:00Z,1934-07-04T00:00:00Z,Poland,Willard Gibbs Award
Lucy Wanzer,physician,1841-10-11T00:00:00Z,1930-10-13T00:00:00Z,United States of America,
Karen Susan Edyvane,botanist,,,,
Karla Gengler,botanist,,,,
Katarzyna Paluchowska,botanist,,,,
Lidia Elba Simón,botanist,,,,
Lilí Martínez-Domínguez,botanist,,,,
Luciana Pereira-Silva,botanist,,,,
Marguerite Massart,engineer,1900-09-19T00:00:00Z,1979-02-25T00:00:00Z,Belgium,
Lisa P. Jackson,chemist,1962-02-08T00:00:00Z,,United States of America,Nature's 10
Ewa Pronicka,physician,1936-05-28T00:00:00Z,,Poland,Q11796433
Helen Judith Foard,botanist,1993-01-01T00:00:00Z,,,
Helen Murray Free,chemist,1923-02-20T00:00:00Z,,United States of America,Chemical Pioneer Award
Araxie Babayan,chemist,1906-05-07T00:00:00Z,1993-02-13T00:00:00Z,Soviet Union,Order of Friendship of Peoples
Elaine Surick Oran,physicist,1946-04-16T00:00:00Z,,United States of America,Women in Technology Hall of Fame
Marina Popovich,engineer,1931-07-20T00:00:00Z,2017-11-30T00:00:00Z,Soviet Union,"Medal ""In Commemoration of the 850th Anniversary of Moscow"""
Margaret Hamilton,mathematician,1936-08-17T00:00:00Z,,United States of America,Computer History Museum fellow
Mary Elizabeth Barber,botanist,1818-01-05T00:00:00Z,1899-09-04T00:00:00Z,United Kingdom of Great Britain and Ireland,
Priscilla Susan Bury,botanist,1799-01-12T00:00:00Z,1872-03-08T00:00:00Z,Great Britain,
Maria Kotlicka,biologist,1938-04-07T00:00:00Z,,Poland,Medal of the 30th Anniversary of People's Poland
N. P. Tarasova,chemist,1948-06-02T00:00:00Z,,Soviet Union,Honoured Higher education employee of the Russian Federation
Alicja Lasota-Moskalewska,biologist,1937-01-01T00:00:00Z,,Poland,
Michelle Sun,engineer,1980-01-01T00:00:00Z,,,BBC 100 Women
Jennifer Doudna,chemist,1964-02-19T00:00:00Z,,United States of America,Paul Ehrlich and Ludwig Darmstaedter Prize
Grażyna Lipińska,chemist,1902-04-12T00:00:00Z,1995-11-30T00:00:00Z,Poland,Armia Krajowa Cross
Truus Postma,physician,1927-08-20T00:00:00Z,2014-12-24T00:00:00Z,Kingdom of the Netherlands,
Agnieszka Lachowicz-Ochędalska,physician,1961-11-10T00:00:00Z,2008-05-27T00:00:00Z,Poland,
Amédée Riou,astronomer,,,France,
Marie Bywater,botanist,1951-01-01T00:00:00Z,,United Kingdom,
Kathleen Ollerenshaw,mathematician,1912-10-01T00:00:00Z,2014-08-10T00:00:00Z,United Kingdom,Order of the British Empire
Sarah Bekessy,biologist,,,,
Margaret Hamilton,mathematician,1936-08-17T00:00:00Z,,United States of America,Ada Lovelace Award
Majda-Ana Kregelj-Zbačnik,physician,1945-04-11T00:00:00Z,,Socialist Federal Republic of Yugoslavia,
Serafima Gromova,engineer,1923-06-14T00:00:00Z,2013-09-16T00:00:00Z,Soviet Union,"Jubilee Medal ""Twenty Years of Victory in the Great Patriotic War 1941–1945"""
Sannie Overly,engineer,1966-07-02T00:00:00Z,,United States of America,
Gordana Vunjak-Novakovic,engineer,1948-01-01T00:00:00Z,,Serbia,Fellow of the Biomedical Engineering Society
Sandra Myrna Díaz,biologist,1961-10-27T00:00:00Z,,Argentina,Nature's 10
Maria Manuel Romeiras,botanist,,,,
Marie Claire Veranso-Libalah,botanist,,,,
Phyllis E. Kempton,botanist,,,,
Q99913228,physician,1964-04-14T00:00:00Z,,Belarus,Certificate of Honor of the National Assembly of the Republic of Belarus
Zofia Bielańska-Osuchowska,biologist,1919-01-01T00:00:00Z,2017-11-27T00:00:00Z,Poland,
Susan Loiseaux,botanist,1938-08-05T00:00:00Z,,,
Sarah Wollaston,physician,1962-02-17T00:00:00Z,,United Kingdom,
Heidi Messer,engineer,1969-08-28T00:00:00Z,,United States of America,
Elaine Surick Oran,computer scientist,1946-04-16T00:00:00Z,,United States of America,Women in Technology International
Susan M. Sanchez,mathematician,1959-01-01T00:00:00Z,,,
Alice Y. Ting,chemist,2000-01-01T00:00:00Z,,United States of America,Vilcek Prize for Creative Promise
Margaret Chan,physician,1947-08-22T00:00:00Z,,People's Republic of China,Pioneer of Reform
Nancy Hafkin,engineer,1942-01-01T00:00:00Z,,South Africa,Internet Hall of Fame
Michele Rodda,botanist,,,,
Alexandra Duel-Hallen,engineer,,,,
Q12154422,physician,1963-08-27T00:00:00Z,,,
Jennifer Doudna,chemist,1964-02-19T00:00:00Z,,United States of America,Japan Prize
Cara Santa Maria,biologist,1983-10-19T00:00:00Z,,United States of America,
Hawa Abdi,physician,1947-05-17T00:00:00Z,2020-08-05T00:00:00Z,Somalia,honorary doctor of Harvard University
Helen Murray Free,chemist,1923-02-20T00:00:00Z,,United States of America,National Women's Hall of Fame
Maria Antonietta (Maretta) Colasante,botanist,1944-01-01T00:00:00Z,,,
Asunción Gómez Pérez,computer scientist,1967-09-03T00:00:00Z,,Spain,
Susanna Pshonik,physician,1929-11-16T00:00:00Z,,Belarus,
Clarita von Trott zu Solz,physician,1917-09-19T00:00:00Z,2013-03-28T00:00:00Z,Germany,Wilhelm Leuschner Medal
Rie de Boois,biologist,1936-06-04T00:00:00Z,2010-11-16T00:00:00Z,Kingdom of the Netherlands,
Anne Butler,engineer,,,,
Silvia Venturi,botanist,1972-04-29T00:00:00Z,,Brazil,
Evelin Lindner,physician,1954-05-13T00:00:00Z,,Germany,Fangenes Testamente
Lyubov Mala,physician,1919-01-13T00:00:00Z,2003-04-14T00:00:00Z,Soviet Union,Order of Lenin
Eva Macapagal,physician,1915-11-01T00:00:00Z,1999-05-16T00:00:00Z,Philippines,Grand Cross of the Civil Order of Beneficence
Amy Johnson,engineer,1903-07-01T00:00:00Z,1941-01-05T00:00:00Z,United Kingdom,Commander of the Order of the British Empire
Elena Ramírez Parra,biologist,1972-01-01T00:00:00Z,,Spain,L'Oréal-UNESCO Award For Women in Science
Beulah Coe-Teixeira,botanist,1925-01-01T00:00:00Z,,,
Zsuzsanna Szabó,mathematician,1962-08-05T00:00:00Z,,Romania,
Virpi Niemelä,astronomer,1936-12-26T00:00:00Z,2006-12-18T00:00:00Z,Finland,
Hilda Phoebe Hudson,mathematician,1881-06-11T00:00:00Z,1965-11-26T00:00:00Z,United Kingdom of Great Britain and Ireland,Officer of the Order of the British Empire
Sarah Parker Remond,physician,1826-06-06T00:00:00Z,1894-12-13T00:00:00Z,United States of America,
Sharon Hammes-Schiffer,physicist,1966-05-27T00:00:00Z,,United States of America,Agnes Fay Morgan Research Award
Q21084055,astronomer,1922-01-24T00:00:00Z,2010-11-23T00:00:00Z,Soviet Union,
Rachel H. Walker,botanist,,,,
Rosalia Brabez,botanist,,,,
Sofie De Smedt,botanist,,,,
Stephanie M. Voshell,botanist,,,,
Stephanie Pimm Lyon,botanist,,,,
Susan L. Clayden,botanist,,,,
Tamara Krügel,botanist,,,,
Lise Meitner,chemist,1878-11-07T00:00:00Z,1968-10-27T00:00:00Z,Sweden,Lieben Prize
Janet Darbyshire,physician,1950-01-01T00:00:00Z,,United Kingdom,Fellow of the Royal College of Physicians
Serafima Gromova,engineer,1923-06-14T00:00:00Z,2013-09-16T00:00:00Z,Soviet Union,"Medal ""In Commemoration of the 850th Anniversary of Moscow"""
İzzət Oruczadə,chemist,1909-09-16T00:00:00Z,1983-04-22T00:00:00Z,Azerbaijan Democratic Republic,Order of the October Revolution
Gali Sabardina,biologist,1914-01-01T00:00:00Z,,Soviet Union,
Mary Jackson,mathematician,1921-04-09T00:00:00Z,2005-02-11T00:00:00Z,United States of America,
Lila Ibrahim,computer scientist,,,United States of America,
Ennafa Vasilevna Nikitin,botanist,1893-11-24T00:00:00Z,1976-01-01T00:00:00Z,Soviet Union,Order of Lenin
Faith Vilas,astronomer,1952-01-01T00:00:00Z,,,Masursky Award
N.V. Vlassova,botanist,1953-01-01T00:00:00Z,,,
Brigid Hogan,biologist,1943-01-01T00:00:00Z,,,Fellow of the Royal Society
Jette Lewinsky,botanist,1948-03-13T00:00:00Z,1998-01-01T00:00:00Z,Denmark,
Q78418459,physicist,1949-09-14T00:00:00Z,,Russia,
Vilve Nummert,chemist,1938-01-30T00:00:00Z,2019-07-27T00:00:00Z,Estonia,
Teresa H. Meng,computer scientist,1961-01-17T00:00:00Z,,United States of America,
Catherine Fonck,physician,1968-09-22T00:00:00Z,,Belgium,
Ágnes Néda,mathematician,1939-01-26T00:00:00Z,,,
Charlotte Froese Fischer,chemist,1929-09-21T00:00:00Z,,United States of America,Fellow of the American Physical Society
Rosemary Grant,biologist,1936-10-08T00:00:00Z,,United Kingdom,Brewster Medal
Romina Goldszmid,biologist,,,,Presidential Early Career Award for Scientists and Engineers
Helena Bursiewicz,physician,1933-09-13T00:00:00Z,1978-04-22T00:00:00Z,Poland,Q11796433
Rosemary Grant,biologist,1936-10-08T00:00:00Z,,United Kingdom,Darwin Medal
Ida Noddack,chemist,1896-02-25T00:00:00Z,1978-09-24T00:00:00Z,Germany,Commander's Cross of the Order of Merit of the Federal Republic of Germany
Esther Amelia Dick,botanist,1909-01-01T00:00:00Z,1985-01-01T00:00:00Z,United States of America,
Galina Lazareva,mathematician,1971-05-24T00:00:00Z,,,
Ellen D. Macklin,botanist,1901-11-05T00:00:00Z,1979-11-01T00:00:00Z,Australia,
Claudine Junck,biologist,1965-07-29T00:00:00Z,,Luxembourg,
Anastasia Golovina,physician,1850-10-17T00:00:00Z,1933-03-05T00:00:00Z,Bulgaria,
Neva Haites,physician,1950-01-01T00:00:00Z,,Australia,Fellow of the Royal College of Physicians
Mukharam Rasulova,botanist,1926-01-01T00:00:00Z,2006-01-01T00:00:00Z,Soviet Union,"Medal ""For Labour Valour"""
Shannon Walker,physicist,1965-06-04T00:00:00Z,,United States of America,"Medal ""For Merit in Space Exploration"""
Heidi M Sosik,biologist,,,,Presidential Early Career Award for Scientists and Engineers
Ann Nelson,physicist,1958-04-29T00:00:00Z,2019-08-04T00:00:00Z,United States of America,Fellow of the American Physical Society
Jennifer R. Mandel,biologist,,,,
Dominique Langevin,physicist,1947-07-24T00:00:00Z,,France,Knight of the Legion of Honour
Elizabeth Fulhame,chemist,1760-01-01T00:00:00Z,1790-01-01T00:00:00Z,Scotland,
Anita Borg,engineer,1949-01-17T00:00:00Z,2003-04-06T00:00:00Z,United States of America,ACM Fellow
Elma Sandford-Morgan,physician,1890-02-23T00:00:00Z,1983-01-01T00:00:00Z,Australia,
Loubna Bouarfa,data scientist,1983-06-26T00:00:00Z,,Morocco,
Kira Arkadjevna Sobolevskaja,botanist,1911-01-01T00:00:00Z,1999-01-01T00:00:00Z,,"Jubilee Medal ""Forty Years of Victory in the Great Patriotic War 1941–1945"""
Anastasia Abramova,botanist,1915-10-26T00:00:00Z,2012-08-06T00:00:00Z,Russia,
Licia Troisi,astronomer,1980-11-25T00:00:00Z,,Italy,
Wanda Wróbel-Stermińska,botanist,1911-07-21T00:00:00Z,1983-02-28T00:00:00Z,,
Klavdia Kostina,physician,1909-12-04T00:00:00Z,1982-04-13T00:00:00Z,Kazakh Soviet Socialist Republic,Order of Lenin
Bonnie C. Templeton,botanist,1906-10-23T00:00:00Z,2002-01-29T00:00:00Z,United States of America,
Ivi Orav,biologist,1933-08-27T00:00:00Z,1984-10-28T00:00:00Z,Estonia,
Hilda Geiringer,mathematician,1893-09-28T00:00:00Z,1973-03-22T00:00:00Z,Austria,Fellow of the Institute of Mathematical Statistics
Elizabeth Gould Bell,physician,1869-01-01T00:00:00Z,1934-07-09T00:00:00Z,Irish Republic,
Cecilia Sahlgren,biologist,1970-01-01T00:00:00Z,,Finland,
Antonia Elisabeth Korvezee,chemist,1899-03-08T00:00:00Z,1978-01-17T00:00:00Z,Kingdom of the Netherlands,
Frances Spence,computer scientist,1922-03-02T00:00:00Z,2012-07-18T00:00:00Z,United States of America,Women in Technology International
Ellen Arruda,engineer,,,,
Anikó Schwartz,chemist,1950-01-31T00:00:00Z,,Romania,
Edith Hirsch Luchins,mathematician,1921-12-21T00:00:00Z,2002-11-18T00:00:00Z,United States of America,
Maude Delap,botanist,1866-12-07T00:00:00Z,1953-07-23T00:00:00Z,,
Q17173396,physician,,,Iran,
Marjolein Dijkstra,physicist,1967-09-26T00:00:00Z,,Kingdom of the Netherlands,
Martina Casiano y Mayor,chemist,1881-01-30T00:00:00Z,2000-01-01T00:00:00Z,Spain,
Ülle Kukk,botanist,1937-11-18T00:00:00Z,,Soviet Union,
Ayana Holloway Arce,physicist,1950-01-01T00:00:00Z,,United States of America,
Q28842765,botanist,1904-09-27T00:00:00Z,1988-01-13T00:00:00Z,,Order of the Badge of Honour
Monica Vișan,mathematician,,,,
Elsa Beata Bunge,botanist,1734-04-18T00:00:00Z,1819-01-19T00:00:00Z,Sweden,
Sandra Lopez-Verges,biologist,1950-01-01T00:00:00Z,,,
Annette Wilson,botanist,1960-01-01T00:00:00Z,,Australia,
Livia Wanntorp,botanist,,,,
Monique Britto de Goes,botanist,,,,
S.K. Wagh,botanist,,,,
Jana Rodríguez Hertz,mathematician,1970-02-11T00:00:00Z,,Argentina,
Marianna Shaskolskaya,physicist,1913-12-18T00:00:00Z,1983-01-01T00:00:00Z,Russian Empire,
Ailsa Land,mathematician,1927-06-14T00:00:00Z,,United Kingdom,
Alexandra Morton,biologist,1957-07-13T00:00:00Z,,Canada,
Chelsea Walton,mathematician,1983-07-11T00:00:00Z,,United States of America,Sloan Fellowship
Maxine Singer,chemist,1931-02-15T00:00:00Z,,United States of America,Fellow of the American Academy of Arts and Sciences
Q12758920,physician,1919-11-11T00:00:00Z,1998-07-24T00:00:00Z,,
Deborah S. Jin,physicist,1968-11-15T00:00:00Z,2016-09-15T00:00:00Z,United States of America,Maria Goeppert-Mayer Award
Ella Hudson Gasking,engineer,1892-04-04T00:00:00Z,1966-12-01T00:00:00Z,United Kingdom,
Ruth Lyttle Satter,botanist,1923-03-08T00:00:00Z,1989-08-03T00:00:00Z,United States of America,
Paula Szkody,astronomer,1948-07-17T00:00:00Z,,United States of America,Annie Jump Cannon Award in Astronomy
Nina Ivanovna Orlova,botanist,1921-02-23T00:00:00Z,2003-01-01T00:00:00Z,,
Hajer Bahouri,mathematician,1958-03-30T00:00:00Z,,Tunisia,Knight of the National Order of Merit
Maie Ojamaa,physician,1957-07-13T00:00:00Z,,Estonia,
Karen Faulds,chemist,,,United Kingdom,Joseph Black Award
Dorothy Maharam,mathematician,1917-07-01T00:00:00Z,2014-09-27T00:00:00Z,United States of America,
Jennifer Lippincott-Schwartz,biologist,1952-10-19T00:00:00Z,,United States of America,Keith R. Porter Lecture
Cristina Inocencio,botanist,1969-01-01T00:00:00Z,,Spain,
Chan Eng Heng,biologist,1950-01-07T00:00:00Z,,Malaysia,
Kimberly Kowal Arcand,astronomer,1975-12-20T00:00:00Z,,United States of America,
Marguerite Moilliet Rogers,physicist,1915-01-01T00:00:00Z,1989-01-01T00:00:00Z,,
Sheila Sherlock,physician,1918-03-31T00:00:00Z,2001-12-20T00:00:00Z,United Kingdom,Fellow of the Royal Society
Ida de Vattimo-Gil,botanist,1928-01-01T00:00:00Z,1993-01-01T00:00:00Z,Brazil,
Q51599771,chemist,1963-04-24T00:00:00Z,,Soviet Union,Excellence of Public Education of the Russian Federation
Sigal Gottlieb,mathematician,,,,
Diana Budisavljević,physician,1891-01-15T00:00:00Z,1978-08-20T00:00:00Z,Austria,
Regina Barzilay,computer scientist,1970-01-01T00:00:00Z,,Israel,MacArthur Fellows Program
Linda J. S. Allen,mathematician,2000-01-01T00:00:00Z,,United States of America,Fellow of the Society for Industrial and Applied Mathematics
Eva Kondorosi,biologist,1948-03-22T00:00:00Z,,France,EMBO Membership
Torunn Janbu,physician,1954-11-26T00:00:00Z,,Norway,
Vilma Espín,engineer,1930-04-07T00:00:00Z,2007-06-18T00:00:00Z,Cuba,Hero of the Republic of Cuba
Kawtar Hafidi,physicist,1972-01-01T00:00:00Z,,Morocco,
Angela Merkel,chemist,1954-07-17T00:00:00Z,,Germany,Honorary doctor at the Nanjing University
Jennifer Tour Chayes,physicist,1956-09-20T00:00:00Z,,United States of America,AAAS Fellow
Wang Wenqing,chemist,1932-10-25T00:00:00Z,2020-09-14T00:00:00Z,People's Republic of China,
Elena Borisovna Yanovskaya,mathematician,1938-05-20T00:00:00Z,,Soviet Union,L. Kantorovich Prize
Naomi Novik,programmer,1973-04-30T00:00:00Z,,United States of America,Compton Crook Award
Liliane Léger,physicist,1944-08-22T00:00:00Z,,France,
Rose Marie Dähncke,botanist,1925-02-10T00:00:00Z,,Germany,
Hawa Abdi,physician,1947-05-17T00:00:00Z,2020-08-05T00:00:00Z,Somalia,Woman of the Year
Frances McConnell-Mills,physician,1900-07-09T00:00:00Z,1975-12-28T00:00:00Z,United States of America,Colorado Women's Hall of Fame
Annika Dahlqvist,physician,1948-12-31T00:00:00Z,,Sweden,Q10715083
Ecaterina Arbore-Ralli,physician,1875-10-16T00:00:00Z,1937-12-02T00:00:00Z,Soviet Union,
Heather Zar,physician,1950-01-01T00:00:00Z,,South Africa,L'Oréal-UNESCO Award For Women in Science
Vera Boyanova,physician,1913-12-06T00:00:00Z,2000-06-01T00:00:00Z,Russia,Order of the Red Banner of Labour
Ellen Voorhees,computer scientist,1958-03-13T00:00:00Z,,United States of America,ACM Fellow
Mounira Hmani Aifa,physician,1972-01-01T00:00:00Z,,Tunisia,
Margaret Hamilton,engineer,1936-08-17T00:00:00Z,,United States of America,honorary doctor of the University Polytechnic of Catalonia
Q39391238,chemist,1952-01-20T00:00:00Z,,Russia,"Medal ""In Commemoration of the 300th Anniversary of Saint Petersburg"""
Doina Bica,chemist,1952-09-02T00:00:00Z,2007-01-01T00:00:00Z,Romania,
Milica Miljković,botanist,,,Serbia,
Betty Louise Higinbotham,botanist,1910-01-01T00:00:00Z,,,
Cynthia Maung,physician,1959-12-06T00:00:00Z,,Myanmar,Ramon Magsaysay Award
Małgorzata Wojtkowska,chemist,2000-01-01T00:00:00Z,,Poland,
